TimeInterval,GantryFrom,GantryTo,VehicleType,TravelTime,TrafficFlow,SpaceMeanSpeed
2023/12/07 07:30,01F0413S,01F0467S,32,202,64,93
2023/04/11 23:15,01F0467S,01F0492S,41,91,1,97
2023/07/28 22:00,01F0467S,01F0492S,41,97,1,90
2023/10/23 11:05,01F0339S,01F0376S,5,165,22,79
2023/12/02 15:35,01F0532S,01F0557S,5,160,6,54
2023/02/17 04:55,01F0339S,01F0376S,42,138,12,93
2023/03/09 02:55,01F0264S,01F0293S,31,102,15,100
2023/02/14 05:35,01F0532S,01F0557S,5,102,11,86
2023/12/08 23:05,01F0750S,01F0880S,31,463,173,100
2023/11/27 14:55,01F0557S,01F0578S,31,89,151,82
2023/05/26 21:05,01F0928S,01F0950S,31,96,219,79
2023/04/27 17:50,01F0413S,01F0467S,31,204,211,93
2023/04/30 21:05,01F0264S,01F0293S,31,111,294,91
2023/10/01 17:40,01F0511S,01F0532S,5,0,0,0
2023/09/23 09:55,01F0264S,01F0293S,32,114,71,90
2023/11/16 22:40,01F0492S,01F0511S,32,69,24,97
2023/10/23 10:30,01F0467S,01F0492S,41,98,4,90
2023/10/01 19:05,01F0376S,01F0413S,42,190,3,68
2023/11/09 22:20,01F0376S,01F0413S,31,153,141,86
2023/11/08 13:30,01F0664S,01F0681S,32,66,55,90
2023/10/25 05:05,01F0511S,01F0532S,5,86,8,86
2023/07/01 02:30,01F0557S,01F0578S,32,80,8,91
2023/08/25 15:25,01F0413S,01F0467S,31,212,174,90
2023/03/29 09:25,01F0293S,01F0339S,42,550,10,28
2023/04/29 01:50,01F0557S,01F0578S,5,85,12,86
2023/07/18 06:00,01F0633S,01F0664S,42,120,19,90
2023/06/02 18:35,01F0492S,01F0511S,32,114,59,57
2023/10/22 02:00,01F0511S,01F0532S,42,82,5,90
2023/03/05 03:10,01F0293S,01F0339S,5,0,0,0
2023/10/02 19:25,01F0467S,01F0492S,32,93,34,93
2023/05/19 08:35,01F0950S,01F0980S,32,119,39,90
